Date,Bitcoin,^BSESN,^GSPC,^IXIC,^N225,^NSEI
2019-09-05,10564.49,36644.421875,2976.0,8116.830078125,21085.939453125,10847.900390625
2019-09-06,10298.73,36981.76953125,2978.7099609375,8103.06982421875,21199.5703125,10946.2001953125
2019-09-09,10303.12,37145.44921875,2978.429931640625,8087.43994140625,21318.419921875,11003.0498046875
2019-09-11,10158.33,37270.8203125,3000.929931640625,8169.68017578125,21597.759765625,11035.7001953125
2019-09-12,10415.01,37104.28125,3009.570068359375,8194.4697265625,21759.609375,10982.7998046875
2019-09-13,10342.06,37384.98828125,3007.389892578125,8176.7099609375,21988.2890625,11075.900390625
2019-09-17,10187.82,36481.08984375,3005.699951171875,8186.02001953125,22001.3203125,10817.599609375
2019-09-18,10156.99,36563.87890625,3006.72998046875,8177.39013671875,21960.7109375,10840.650390625
2019-09-19,10244.29,36093.46875,3006.7900390625,8182.8798828125,22044.44921875,10704.7998046875
2019-09-20,10168.59,38014.62109375,2992.070068359375,8117.669921875,22079.08984375,11274.2001953125
2019-09-24,8493.14,39097.140625,2966.60009765625,7993.6298828125,22098.83984375,11588.2001953125
2019-09-25,8430.05,38593.51953125,2984.8701171875,8077.3798828125,22020.150390625,11440.2001953125
2019-09-26,8063.73,38989.73828125,2977.6201171875,8030.66015625,22048.240234375,11571.2001953125
2019-09-27,8177.91,38822.5703125,2961.7900390625,7939.6298828125,21878.900390625,11512.400390625
2019-09-30,8289.34,38667.328125,2976.739990234375,7999.33984375,21755.83984375,11474.4501953125
2019-10-01,8292.44,38305.41015625,2940.25,7908.68017578125,21885.240234375,11359.900390625
2019-10-03,8223.96,38106.87109375,2910.6298828125,7872.259765625,21341.740234375,11314.0
2019-10-04,8137.13,37673.30859375,2952.010009765625,7982.47021484375,21410.19921875,11174.75
2019-10-07,8190.09,37531.98046875,2938.7900390625,7956.2900390625,21375.25,11126.400390625
2019-10-09,8560.74,38177.94921875,2919.39990234375,7903.740234375,21456.380859375,11313.2998046875
2019-10-10,8558.03,37880.3984375,2938.1298828125,7950.77978515625,21551.98046875,11234.5498046875
2019-10-11,8258.5,38127.078125,2970.27001953125,8057.0400390625,21798.869140625,11305.0498046875
2019-10-15,8159.29,38506.08984375,2995.679931640625,8148.7099609375,22207.2109375,11428.2998046875
2019-10-16,7991.74,38598.98828125,2989.68994140625,8124.18017578125,22472.919921875,11464.0
2019-10-17,8070.58,39052.05859375,2997.949951171875,8156.85009765625,22451.859375,11586.349609375
2019-10-18,7947.01,39298.37890625,2986.199951171875,8089.5400390625,22492.6796875,11661.849609375
2019-10-23,7466.62,39058.828125,3004.52001953125,8119.7900390625,22625.380859375,11604.099609375
2019-10-24,7412.41,39020.390625,3010.2900390625,8185.7998046875,22750.599609375,11582.599609375
2019-10-25,8655.02,39058.05859375,3022.550048828125,8243.1201171875,22799.810546875,11583.900390625
2019-10-29,9407.62,39831.83984375,3036.889892578125,8276.849609375,22974.130859375,11786.849609375
2019-10-30,9154.72,40051.87109375,3046.77001953125,8303.98046875,22843.119140625,11844.099609375
2019-10-31,9140.85,40129.05078125,3037.56005859375,8292.3603515625,22927.0390625,11877.4501953125
2019-11-01,9231.61,40165.03125,3066.909912109375,8386.400390625,22850.76953125,11890.599609375
2019-11-05,9308.66,40248.23046875,3074.6201171875,8434.6796875,23251.990234375,11917.2001953125
2019-11-06,9339.05,40469.78125,3076.780029296875,8410.6298828125,23303.8203125,11966.0498046875
2019-11-07,9216.2,40653.73828125,3085.179931640625,8434.51953125,23330.3203125,12012.0498046875
2019-11-08,8773.73,40323.609375,3093.080078125,8475.3095703125,23391.869140625,11908.150390625
2019-11-11,8733.27,40345.078125,3087.010009765625,8464.2802734375,23331.83984375,11913.4501953125
2019-11-13,8777.12,40116.05859375,3094.0400390625,8482.099609375,23319.869140625,11840.4501953125
2019-11-14,8646.68,40286.48046875,3096.6298828125,8479.01953125,23141.55078125,11872.099609375
2019-11-15,8471.73,40356.69140625,3120.4599609375,8540.830078125,23303.3203125,11895.4501953125
2019-11-18,8187.17,40284.19140625,3122.030029296875,8549.9404296875,23416.759765625,11884.5
2019-11-19,8133.64,40469.69921875,3120.179931640625,8570.66015625,23292.650390625,11940.099609375
2019-11-20,8098.01,40651.640625,3108.4599609375,8526.73046875,23148.5703125,11999.099609375
2019-11-21,7627.74,40575.171875,3103.5400390625,8506.2099609375,23038.580078125,11968.400390625
2019-11-22,7268.23,40359.41015625,3110.2900390625,8519.8798828125,23112.880859375,11914.400390625
2019-11-25,7109.57,40889.23046875,3133.639892578125,8632.490234375,23292.810546875,12073.75
2019-11-26,7156.14,40821.30078125,3140.52001953125,8647.9296875,23373.3203125,12037.7001953125
2019-11-27,7508.52,41020.609375,3153.6298828125,8705.1796875,23437.76953125,12100.7001953125
2019-11-29,7739.68,40793.80859375,3140.97998046875,8665.4697265625,23293.91015625,12056.0498046875
2019-12-02,7294.28,40802.171875,3113.8701171875,8567.990234375,23529.5,12048.2001953125
2019-12-03,7292.71,40675.44921875,3093.199951171875,8520.6396484375,23379.810546875,11994.2001953125
2019-12-04,7194.32,40850.2890625,3112.760009765625,8566.669921875,23135.23046875,12043.2001953125
2019-12-05,7389.0,40779.58984375,3117.429931640625,8570.7001953125,23300.08984375,12018.400390625
2019-12-06,7527.47,40445.1484375,3145.909912109375,8656.5302734375,23354.400390625,11921.5
2019-12-09,7338.64,40487.4296875,3135.9599609375,8621.830078125,23430.69921875,11937.5
2019-12-10,7224.13,40239.87890625,3132.52001953125,8616.1796875,23410.189453125,11856.7998046875
2019-12-11,7210.0,40412.5703125,3141.6298828125,8654.0498046875,23391.859375,11910.150390625
2019-12-12,7198.08,40581.7109375,3168.570068359375,8717.3203125,23424.810546875,11971.7998046875
2019-12-13,7258.48,41009.7109375,3168.800048828125,8734.8798828125,24023.099609375,12086.7001953125
2019-12-16,6891.72,40938.71875,3191.449951171875,8814.23046875,23952.349609375,12053.9501953125
2019-12-17,6623.82,41352.171875,3192.52001953125,8823.3603515625,24066.119140625,12165.0
2019-12-18,7277.83,41558.5703125,3191.139892578125,8827.740234375,23934.4296875,12221.650390625
2019-12-19,7150.3,41673.921875,3205.3701171875,8887.2197265625,23864.849609375,12259.7001953125
2019-12-20,7187.83,41681.5390625,3221.219970703125,8924.9599609375,23816.630859375,12271.7998046875
2019-12-23,7317.09,41642.66015625,3224.010009765625,8945.650390625,23821.109375,12262.75
2019-12-24,7255.77,41461.26171875,3223.3798828125,8952.8798828125,23830.580078125,12214.5498046875
2019-12-26,7202.0,41163.76171875,3239.909912109375,9022.3896484375,23924.919921875,12126.5498046875
2019-12-27,7254.74,41575.140625,3240.02001953125,9006.6201171875,23837.720703125,12245.7998046875
2019-12-30,7246.0,41558.0,3221.2900390625,8945.990234375,23656.619140625,12255.849609375
2020-01-06,7758.0,40676.62890625,3246.280029296875,9071.4697265625,23204.859375,11993.0498046875
2020-01-07,8145.28,40869.46875,3237.179931640625,9068.580078125,23575.720703125,12052.9501953125
2020-01-08,8055.98,40817.73828125,3253.050048828125,9129.240234375,23204.759765625,12025.349609375
2020-01-09,7817.76,41452.3515625,3274.699951171875,9203.4296875,23739.869140625,12215.900390625
2020-01-10,8197.02,41599.71875,3265.35009765625,9178.8603515625,23850.5703125,12256.7998046875
2020-01-14,8810.01,41952.62890625,3283.14990234375,9251.330078125,24025.169921875,12362.2998046875
2020-01-15,8821.41,41872.73046875,3289.2900390625,9258.7001953125,23916.580078125,12343.2998046875
2020-01-16,8720.01,41932.55859375,3316.81005859375,9357.1298828125,23933.130859375,12355.5
2020-01-17,8913.28,41945.37109375,3329.6201171875,9388.9404296875,24041.259765625,12352.349609375
2020-01-21,8736.03,41323.80859375,3320.7900390625,9370.8095703125,23864.560546875,12169.849609375
2020-01-22,8682.36,41115.37890625,3321.75,9383.76953125,24031.349609375,12106.900390625
2020-01-23,8404.52,41386.3984375,3325.5400390625,9402.48046875,23795.439453125,12180.349609375
2020-01-24,8439.0,41613.19140625,3295.469970703125,9314.91015625,23827.1796875,12248.25
2020-01-27,8907.57,41155.12109375,3243.6298828125,9139.3095703125,23343.509765625,12119.0
2020-01-28,9374.21,40966.859375,3276.239990234375,9269.6796875,23215.7109375,12055.7998046875
2020-01-29,9301.53,41198.66015625,3273.39990234375,9275.16015625,23379.400390625,12129.5
2020-01-30,9513.21,40913.8203125,3283.659912109375,9298.9296875,22977.75,12035.7998046875
2020-01-31,9352.89,40723.48828125,3225.52001953125,9150.9404296875,23205.1796875,11962.099609375
2020-02-03,9292.24,39872.30859375,3248.919921875,9273.400390625,22971.939453125,11707.900390625
2020-02-04,9197.02,40789.37890625,3297.590087890625,9467.9697265625,23084.58984375,11979.650390625
2020-02-05,9612.04,41142.66015625,3334.68994140625,9508.6796875,23319.560546875,12089.150390625
2020-02-06,9772.0,41306.03125,3345.780029296875,9572.150390625,23873.58984375,12137.9501953125
2020-02-07,9813.73,41141.8515625,3327.7099609375,9520.509765625,23827.98046875,12098.349609375
2020-02-10,9851.83,40979.62109375,3352.090087890625,9628.3896484375,23685.98046875,12031.5
2020-02-12,10326.46,41565.8984375,3379.449951171875,9725.9599609375,23861.2109375,12201.2001953125
2020-02-13,10229.63,41459.7890625,3373.93994140625,9711.9697265625,23827.73046875,12174.650390625
2020-02-14,10344.36,41257.73828125,3380.159912109375,9731.1796875,23687.58984375,12113.4501953125
2020-02-18,10164.71,40894.37890625,3370.2900390625,9732.740234375,23193.80078125,11992.5
2020-02-19,9593.79,41323.0,3386.14990234375,9817.1796875,23400.69921875,12125.900390625
2020-02-20,9596.42,41170.12109375,3373.22998046875,9750.9697265625,23479.150390625,12080.849609375
2020-02-25,9315.84,40281.19921875,3128.2099609375,8965.6103515625,22605.41015625,11797.900390625
2020-02-26,8785.25,39888.9609375,3116.389892578125,8980.7802734375,22426.189453125,11678.5
